crawl 58[0.13 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/hhsyw/201010/t20101018_758021.htm', 'anchor_text': u'\u4e2d\u56fd\u843d\u5b9e\u201c\u5341\u4e00\u4e94\u201d\u53d1\u5c55\u89c4\u5212\u53d6\u5f97\u7684\u4e3b\u8981\u6210\u5c31', 'value': 2},  [1020 urls left in queue]
crawl 59[0.12 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/wz/201010/t20101018_758059.htm', 'anchor_text': u'\u7b2c\u5341\u7ae0  \u5efa\u8bbe\u8282\u7ea6\u578b\u793e\u4f1a\u589e\u5f3a\u53ef\u6301\u7eed\u53d1\u5c55\u80fd\u529b', 'value': 2},  [1019 urls left in queue]
crawl 60[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/wz/201010/t20101018_758067.htm', 'anchor_text': u'\u7b2c\u4e94\u7ae0  \u63a8\u8fdb\u4ea7\u4e1a\u5efa\u8bbe\u63d0\u9ad8\u81ea\u6211\u53d1\u5c55\u80fd\u529b', 'value': 2},  [1018 urls left in queue]
crawl 61[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/wz/201010/t20101018_758068.htm', 'anchor_text': u'\u7b2c\u56db\u7ae0  \u52a0\u5f3a\u57fa\u7840\u8bbe\u65bd\u5efa\u8bbe\u5168\u9762\u63d0\u9ad8\u7efc\u5408\u53d1\u5c55\u80fd\u529b', 'value': 2},  [1017 urls left in queue]
crawl 62[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/wz/201010/t20101018_758077.htm', 'anchor_text': u'\u7b2c\u4e00\u7ae0  \u201c\u5341\u4e94\u201d\u6210\u5c31\u8f89\u714c \u63a8\u8fdb\u8de8\u8d8a\u5f0f\u53d1\u5c55\u8fdb\u5165\u65b0\u9636\u6bb5', 'value': 2},  [1016 urls left in queue]
crawl 63[0.14 seconds used]: {'url': 'http://www.tibet.cn/sd2010/sywxzdfz/tk/201011/t20101105_766485.htm', 'anchor_text': u'\u6797\u829d\u9c81\u6717\u5c06\u6253\u9020\u56fd\u9645\u65c5\u6e38\u96c6\u9547 \u897f\u85cf\u65c5\u6e38\u6e10\u8d70\u9ad8\u7aef\u3000', 'value': 2},  [1016 urls left in queue]
crawl 64[0.27 seconds used]: {'url': 'http://www.tibet.cn/news/index/xzyw/201209/t20120926_1783236.htm', 'anchor_text': u'[\u897f\u85cf\u884c]\u62c9\u8428\u5e02\u6c11\u51fa\u884c\u53d8\u5316\u6298\u5c04\u897f\u85cf\u524d\u8fdb\u811a\u6b65', 'value': 2},  [1021 urls left in queue]
crawl 65[0.32 seconds used]: {'url': 'http://www.tibet.cn/news/xzxw/shjj/201208/t20120806_1766061.htm', 'anchor_text': u'\u897f\u85cf\u672a\u6765\u4e94\u5e74\u5185\u5c06\u5b8c\u6210\u516b\u5e74\u516c\u8def\u5efa\u8bbe', 'value': 4},  [1023 urls left in queue]
crawl 66[0.44 seconds used]: {'url': 'http://www.tibet.cn/news/index/xzyw/201203/t20120320_1728107.htm', 'anchor_text': u'\u897f\u85cf\u8ba1\u5212\u4e09\u5e74\u5185\u5efa\u8bbe\u901a\u6751\u516c\u8def13385\u516c\u91cc', 'value': 4},  [1031 urls left in queue]
crawl 67[0.35 seconds used]: {'url': 'http://www.tibet.cn/2009shipin/news/sp/201111/t20111122_1208470.html', 'anchor_text': u'\u897f\u85cf\u5c06\u5927\u529b\u63a8\u8fdb\u533b\u836f\u536b\u751f\u4e8b\u4e1a\u53d1\u5c55', 'value': 5},  [1060 urls left in queue]
